Country,country,population
Afghanistan,Iran (Islamic Republic of),37
Afghanistan,Pakistan,16147
Albania,China,10
Albania,Iraq,5
Albania,Serbia,54
Algeria,Cameroon,6
Algeria,Congo,7
Algeria,Côte d'Ivoire,23
Algeria,Democratic Republic of the Congo,39
Algeria,Iraq,15
Algeria,Palestinian,4020
Algeria,Western Sahara,90000
Angola,Burundi,18
Angola,Central African Republic,13
Angola,Chad,191
Angola,Congo,65
Angola,Côte d'Ivoire,407
Angola,Democratic Republic of the Congo,20740
Angola,Eritrea,6
Angola,Guinea,167
Angola,Guinea-Bissau,5
Angola,Liberia,160
Angola,Mauritania,235
Angola,Rwanda,452
Angola,Sierra Leone,413
Angola,Somalia,215
Angola,Sudan,281
Angola,United Republic of Tanzania,6
Angola,Western Sahara,27
Argentina,Various,548
Argentina,Albania,28
Argentina,Algeria,45
Argentina,Angola,13
Argentina,Armenia,126
Argentina,Bangladesh,7
Argentina,Bosnia and Herzegovina,6
Argentina,Burundi,5
Argentina,Cameroon,8
Argentina,Chile,336
Argentina,Colombia,497
Argentina,Congo,9
Argentina,Costa Rica,6
Argentina,Côte d'Ivoire,37
Argentina,Cuba,340
Argentina,Democratic Republic of the Congo,13
Argentina,Ecuador,15
Argentina,El Salvador,10
Argentina,Georgia,5
Argentina,Ghana,46
Argentina,Guinea,9
Argentina,Guinea-Bissau,19
Argentina,Haiti,58
Argentina,India,33
Argentina,Iran (Islamic Republic of),22
Argentina,Iraq,25
Argentina,Kazakhstan,22
Argentina,Liberia,69
Argentina,Mali,16
Argentina,Nigeria,52
Argentina,Pakistan,41
Argentina,Peru,582
Argentina,Romania,53
Argentina,Russian Federation,60
Argentina,Senegal,67
Argentina,Serbia,17
Argentina,Sierra Leone,53
Argentina,Somalia,5
Argentina,Sri Lanka,34
Argentina,Stateless,7
Argentina,Syrian Arab Republic,40
Argentina,Turkey,11
Argentina,Ukraine,18
Argentina,Yemen,15
Armenia,Azerbaijan,1716
Armenia,Côte d'Ivoire,6
Armenia,Georgia,8
Armenia,Iran (Islamic Republic of),21
Armenia,Iraq,943
Armenia,Lebanon,14
Armenia,Palestinian,5
Armenia,Syrian Arab Republic,136
Australia,Various,178
Australia,Afghanistan,7192
Australia,Albania,58
Australia,Algeria,11
Australia,Bahrain,74
Australia,Bangladesh,334
Australia,Belarus,6
Australia,Brazil,6
Australia,Burundi,28
Australia,Cambodia,23
Australia,Cameroon,52
Australia,China,2678
Australia,Colombia,118
Australia,Congo,16
Australia,Côte d'Ivoire,6
Australia,Democratic People's Republic of Korea,29
Australia,Democratic Republic of the Congo,30
Australia,Ecuador,5
Australia,Egypt,810
Australia,El Salvador,5
Australia,Eritrea,96
Australia,Ethiopia,189
Australia,Fiji,279
Australia,Georgia,6
Australia,Ghana,28
Australia,Guinea,8
Australia,India,196
Australia,Indonesia,233
Australia,Iran (Islamic Republic of),3949
Australia,Iraq,2821
Australia,Israel,36
Australia,Jordan,77
Australia,Kazakhstan,7
Australia,Kenya,55
Australia,Kuwait,39
Australia,Kyrgyzstan,11
Australia,Latvia,6
Australia,Lebanon,315
Australia,Liberia,16
Australia,Libya,127
Australia,Malaysia,69
Australia,Mongolia,49
Australia,Morocco,18
Australia,Mozambique,5
Australia,Myanmar,534
Australia,Nepal,196
Australia,Nigeria,116
Australia,Pakistan,1957
Australia,Palestinian,179
Australia,Papua New Guinea,172
Australia,Philippines,29
Australia,Republic of Korea,37
Australia,Romania,14
Australia,Russian Federation,83
Australia,Rwanda,27
Australia,Saudi Arabia,37
Australia,Senegal,5
Australia,Serbia,80
Australia,Sierra Leone,33
Australia,Solomon Islands,16
Australia,Somalia,66
Australia,South Africa,32
Australia,Sri Lanka,2866
Australia,Stateless,1433
Australia,Sudan,49
Australia,Syrian Arab Republic,204
Australia,Thailand,17
Australia,Timor-Leste,8
Australia,Tonga,11
Australia,Tunisia,10
Australia,Turkey,311
Australia,Uganda,43
