residence,origin
Afghanistan,Iran (Islamic Republic of)
Afghanistan,Iraq
Afghanistan,Pakistan
Afghanistan,Syrian Arab Republic
Albania,Algeria
Albania,China
Albania,Egypt
Albania,Iraq
Albania,Montenegro
Albania,Palestinian
Albania,Serbia (and Kosovo: S/RES/1244 (1999))
Albania,Tunisia
Albania,Turkey
Albania,Uzbekistan
Algeria,Afghanistan
Algeria,Angola
Algeria,Burundi
Algeria,Cameroon
Algeria,Central African Republic
Algeria,Chad
Algeria,Congo
Algeria,Côte d'Ivoire
Algeria,Democratic Republic of the Congo
Algeria,Guinea
Algeria,Iraq
Algeria,Liberia
Algeria,Palestinian
Algeria,Somalia
Algeria,Togo
Algeria,Western Sahara
Angola,Algeria
Angola,Burundi
Angola,Central African Republic
Angola,Chad
Angola,Congo
Angola,Côte d'Ivoire
Angola,Cuba
Angola,Democratic Republic of the Congo
Angola,Eritrea
Angola,Guinea
Angola,Guinea-Bissau
Angola,Haiti
Angola,Iraq
Angola,Liberia
Angola,Mauritania
Angola,Rwanda
Angola,Sierra Leone
Angola,Somalia
Angola,South Africa
Angola,Sudan
Angola,Uganda
Angola,United Republic of Tanzania
Angola,Western Sahara
Angola,Zambia
Argentina,Afghanistan
Argentina,Albania
Argentina,Algeria
Argentina,Angola
Argentina,Armenia
Argentina,Bangladesh
Argentina,Belarus
Argentina,Benin
Argentina,Bolivia (Plurinational State of)
Argentina,Bosnia and Herzegovina
Argentina,Bulgaria
Argentina,Burundi
Argentina,Cameroon
Argentina,Central African Republic
Argentina,Chad
Argentina,Chile
Argentina,Colombia
Argentina,Congo
Argentina,Costa Rica
Argentina,Côte d'Ivoire
Argentina,Croatia
Argentina,Cuba
Argentina,Democratic Republic of the Congo
Argentina,Dominican Republic
Argentina,Ecuador
Argentina,El Salvador
Argentina,Eritrea
Argentina,Ethiopia
Argentina,Gambia
Argentina,Georgia
Argentina,Ghana
Argentina,Guatemala
Argentina,Guinea
Argentina,Guinea-Bissau
Argentina,Haiti
Argentina,India
Argentina,Iran (Islamic Republic of)
Argentina,Iraq
Argentina,Italy
Argentina,Kazakhstan
Argentina,Kenya
Argentina,Kyrgyzstan
Argentina,Liberia
Argentina,Mali
Argentina,Mauritania
Argentina,Mexico
Argentina,Morocco
Argentina,Nicaragua
Argentina,Nigeria
Argentina,Pakistan
Argentina,Paraguay
Argentina,Peru
Argentina,Romania
